Link,Platform,Year,Description,Image_num,Hand,Pose,Content_pose,Audio_track,Highlights
http://pappagallipersi.altervista.org/wordpress/archives/529,petpappagalli,1999,"SASSARI. Nessuno è riuscito a capire da quale angolo della Sardegna o della città provenga un raro e bellissimo esemplare di pappagallo esotico, chiamato comunemente «parrocchetto», ritrovato pochi giorni fa vicino a una discoteca fa alcuni ragazzi che, attirati dalla stranezza dei versi, sono riusciti a prendere il «viaggiatore disperso» senza troppa difficoltà, evitando di ferirgli le zampe e danneggiare il pregiato piumaggio.
I ragazzi hanno cercato immediatamente di capire da dove arrivasse il pappagallo e risalire quindi al nome del proprietario, ma nessuno finora ha risposto all’appello e a loro non resta che proseguire nella ricerca. «Abbiamo paura che il pappagallo possa capitare nelle mani sbagliate – dice uno dei giovani soccorritori – e perciò preferiamo non diffondere troppi dati di riconoscimento. Se qualcuno dovesse presentarsi a reclamarlo, lo metteremo alla prova invitandolo al riconoscimento di alcuni particolari».
Nel caso che qualcuno voglia reclamare il possesso di questo bellissimo pappagallo, è pregato di chiamare il seguente numero telefonico: 079/252411.",2,No Hand,,,2,
http://pappagallipersi.altervista.org/wordpress/archives/535,petpappagalli,2009,"luglio 2008 Ciao ragazzi, 15 giorni fa sono andata a portare mia figlia avedere i cavalli al maneggio di Battilana a Carrra Avenza e li in una voliera ho visto un parrocchetto monaco, il piccolo è domestico e un pò chiacchera, la padrona del maneggio mi ha raccontato di averlo trovato a razzolare nel pollaio del maneggio in mezzo alle galline e che si è fatto prendere subito, lo ha messo nella voliera insieme ad un iseparabile, ora secondo me e scappato da qualche casa nella zona e magari il proprietario lo sta cercando",3,No Hand,,,,
http://pappagallipersi.altervista.org/wordpress/archives/652,petpappagalli,2009,"trovato parrochetto 29/01/2009

RAF.piccolo nido.trovato parrochetto a verona in via s.luci chi lavesse smarrito contatti ketty 0457840010opp 3477197342",4,No Hand,,,,
https://agrigento.usato.it/disponibile-parrocchetto-dal-collare-dom-pied-viol-60026585,usato.it,2024,"Disponibile parrocchetto dal collare mutato dom pied viola, è un maschio sessato e anellato foi con anello inamovibile anno 2024, è una mutazione particolare solo per intenditori della mutazione, prezzo 650.
Per maggiori informazioni contattatemi, no perditempo solo persone interessate",5,Hand,Grip,Image & Text,5,è una mutazione particolare solo per intenditori della mutazione
https://agrigento.usato.it/parrocchetto-60011453,usato.it,2024,Scambio parrocchetto dal collare di 2 anni gia si vede il collare verde portatore lutino con femmina di collare qualsiasi colore,6,No Hand,,,,
https://agrigento.usato.it/parrocchetto-60043475,usato.it,2024,Parrocchetto dal collare verde di 2 anni maschio,7,No Hand,,,,
https://agrigento.usato.it/parrocchetto-dal-collare-mutato-dom-pied-viola-edg-60026588,usato.it,2024,"Disponibile parrocchetto dal collare mutato dom pied viola edged, è una femmina sessata e anellata foi con anello inamovibile anno 2024, è una mutazione particolare solo per intenditori della mutazione, prezzo 650.
Per ulteriori informazioni contattatemi, no perditempo solo persone realmente interessate.",8,Hand,Grip,Image,,
https://agrigento.usato.it/parrocchetto-dal-collare-viola-port-di-opa-e-ct-59995617,usato.it,2024,"Disponibile maschio di parrocchetto dal collare 2023 viola doppio portatore di opalino e cleartail, taglia notevole",9,No Hand,,,,
https://ancona.usato.it/parrocchetto-dal-collare-60431449,usato.it,2024,"Parrocchetto dal collare pallid-ino grigio non sessato 2024, selvatico ma assolutamente non impaurito dalle persone, piuttosto incuriosito, probabilmente adomesticabile",10,No Hand,,,,
https://ancona.usato.it/parrocchetto-dal-collare-60446454,usato.it,2024,vendesi due parrocchetto ancestrale e uno blu. anno 2024 anellati,11,No Hand,,,,
https://animalissimo.it/?p=28699,animalissimo,2023,"Cedo coppia di parrocchetti dal collare adulti e riproduttivi, maschio green/blu fem. Grey abituati in voliera esterna tutto l’anno.",12,No Hand,,,,
https://animalissimo.it/?p=40034,animalissimo,2024,"Parrocchetto dal collare
parrocchetto dal collare, esce spesso dalla gabbia e gli piace molto mangiare, non parla ma sta dovunque si mette, colore abbastanza raro, ha un anno e quasi 2 mesi, per maggiori informazioni contattatemi.",13,No Hand,,,,
https://animalissimo.it/?p=40036,animalissimo,2024,"Parrocchetto dal collare
Esce spesso dalla gabbia e gli piace molto mangiare, non parla ma sta dovunque si mette, colore abbastanza raro, ha un anno e quasi 2 mesi, per maggiori informazioni contattatemi.",14,Hand,TouchingTips,Image & Text,14,gli piace molto mangiare
